ElementID,Name,Abstract Data Type,Data Type Semantics
350,virtualStationName,string,default
351,layer2SegmentId,unsigned64,identifier
352,layer2OctetDeltaCount,unsigned64,deltaCounter
353,layer2OctetTotalCount,unsigned64,totalCounter
354,ingressUnicastPacketTotalCount,unsigned64,totalCounter
355,ingressMulticastPacketTotalCount,unsigned64,totalCounter
356,ingressBroadcastPacketTotalCount,unsigned64,totalCounter
357,egressUnicastPacketTotalCount,unsigned64,totalCounter
358,egressBroadcastPacketTotalCount,unsigned64,totalCounter
359,monitoringIntervalStartMilliSeconds,dateTimeMilliseconds,default
360,monitoringIntervalEndMilliSeconds,dateTimeMilliseconds,default
361,portRangeStart,unsigned16,identifier
362,portRangeEnd,unsigned16,identifier
363,portRangeStepSize,unsigned16,identifier
364,portRangeNumPorts,unsigned16,identifier
365,staMacAddress,macAddress,default
366,staIPv4Address,ipv4Address,default
367,wtpMacAddress,macAddress,default
368,ingressInterfaceType,unsigned32,identifier
369,egressInterfaceType,unsigned32,identifier
370,rtpSequenceNumber,unsigned16,
371,userName,string,default
372,applicationCategoryName,string,default
373,applicationSubCategoryName,string,default
374,applicationGroupName,string,default
375,originalFlowsPresent,unsigned64,deltaCounter
376,originalFlowsInitiated,unsigned64,deltaCounter
377,originalFlowsCompleted,unsigned64,deltaCounter
378,distinctCountOfSourceIPAddress,unsigned64,totalCounter
379,distinctCountOfDestinationIPAddress,unsigned64,totalCounter
380,distinctCountOfSourceIPv4Address,unsigned32,totalCounter
381,distinctCountOfDestinationIPv4Address,unsigned32,totalCounter
382,distinctCountOfSourceIPv6Address,unsigned64,totalCounter
383,distinctCountOfDestinationIPv6Address,unsigned64,totalCounter
384,valueDistributionMethod,unsigned8,
385,rfc3550JitterMilliseconds,unsigned32,quantity
386,rfc3550JitterMicroseconds,unsigned32,quantity
387,rfc3550JitterNanoseconds,unsigned32,quantity
388,dot1qDEI,boolean,default
389,dot1qCustomerDEI,boolean,default
390,flowSelectorAlgorithm,unsigned16,identifier
391,flowSelectedOctetDeltaCount,unsigned64,deltaCounter
392,flowSelectedPacketDeltaCount,unsigned64,deltaCounter
393,flowSelectedFlowDeltaCount,unsigned64,deltaCounter
394,selectorIDTotalFlowsObserved,unsigned64,
395,selectorIDTotalFlowsSelected,unsigned64,
